,Unnamed: 0,CheckingAccountBalance,DebtsPaid,SavingsAccountBalance,CurrentOpenLoanApplications,LoanPayoffPeriodInMonths,LoanReason,RequestedAmount,InterestRate,Co-Applicant,YearsAtCurrentEmployer,YearsInCurrentResidence,Age,RentOrOwnHome,TypeOfCurrentEmployment,NumberOfDependantsIncludingSelf,WasTheLoanApproved
314,485,none,paid,v.high,1,21,busin,1572,4,none,10+,4,36,owned,unskill,1,Y
315,250,debt,paid,some,2,48,goods,6999,1,guarant,7,1,34,owned,skilled,1,N
316,57,debt,delayed,some,1,16,auto,2625,2,guarant,10+,4,43,rent,skilled,1,N
317,172,debt,paid,v.high,2,30,goods,3622,4,none,10+,4,57,rent,skilled,1,Y
318,463,none,paid,medium,1,6,auto,1204,4,none,4,1,35,rent,skilled,1,Y
319,86,some,paid,some,1,18,goods,3001,2,none,7,4,40,rent,skilled,1,Y
320,72,debt,paid,none,1,24,auto,1371,4,none,4,4,25,rent,skilled,1,N
321,126,debt,paid,some,2,48,goods,7119,3,none,4,4,53,free,skilled,2,N
322,31,none,delayed,some,1,12,auto,1503,4,none,4,4,41,rent,skilled,1,Y
323,322,none,delayed,v.high,2,27,goods,4526,4,none,1,2,32,owned,unskill,2,Y
324,40,none,paid,some,1,18,repairs,1943,4,none,1,4,23,owned,skilled,1,N
325,335,none,delayed,some,1,48,school,6110,1,none,4,3,31,free,skilled,1,Y
326,494,debt,paid,some,1,12,goods,708,2,guarant,4,3,38,owned,unskill,2,Y
327,323,some,delayed,some,2,42,busin,5954,2,none,7,1,41,owned,unskill,1,Y
328,120,none,paid,none,1,48,goods,10222,4,none,7,3,37,owned,skilled,1,Y
329,273,debt,paid,some,1,6,auto,14896,1,none,10+,4,68,owned,self,1,N
330,466,some,paid,high,1,18,goods,3213,1,none,1,3,25,rent,skilled,1,Y
331,503,none,paid,some,1,6,goods,2108,2,none,7,2,29,rent,skilled,1,Y
332,328,some,paid,none,1,48,busin,12204,2,none,4,2,48,owned,self,1,Y
333,319,some,paid,none,1,48,other,5381,3,none,0,4,40,free,none,1,Y
334,189,debt,paid,some,1,60,busin,7297,4,co-app,10+,4,36,rent,skilled,1,N
335,205,some,paid,none,2,48,goods,3979,4,none,7,1,41,owned,skilled,2,Y
336,86,some,paid,some,1,18,goods,3001,2,none,7,4,40,rent,skilled,1,Y
337,247,high,delayed,some,1,21,school,2319,2,none,1,1,33,rent,skilled,1,N
338,376,some,paid,some,1,9,goods,959,1,none,4,2,29,owned,skilled,1,N
339,413,none,delayed,some,1,12,goods,618,4,none,10+,4,56,owned,skilled,1,Y
340,372,some,paid,some,1,9,auto,5129,2,none,10+,4,74,free,self,2,N
341,155,none,delayed,some,1,30,goods,5954,3,co-app,7,2,38,owned,skilled,1,Y
342,297,debt,delayed,some,2,6,auto,609,4,none,7,3,37,owned,skilled,1,Y
343,158,some,paid,high,2,48,auto,8358,1,none,1,1,30,owned,skilled,1,Y
344,386,high,paid,some,1,36,goods,4473,4,none,10+,2,31,owned,skilled,1,Y
345,20,none,delayed,some,2,6,auto,6761,1,none,7,3,45,owned,self,2,Y
346,307,none,delayed,some,3,24,goods,5103,3,none,1,3,47,free,skilled,1,Y
347,395,none,delayed,medium,2,21,goods,1591,4,none,7,3,34,owned,self,1,Y
348,508,some,delayed,some,2,30,auto,5234,4,none,0,2,28,owned,self,1,N
349,189,debt,paid,some,1,60,busin,7297,4,co-app,10+,4,36,rent,skilled,1,N
350,94,none,delayed,some,2,18,auto,1028,4,none,4,3,36,owned,skilled,1,Y
351,151,debt,delayed,some,2,8,auto,3398,1,none,7,4,39,owned,unskill,1,Y
352,71,debt,delayed,some,2,12,auto,2171,4,none,4,4,38,owned,unskill,1,Y
353,96,debt,paid,some,1,21,goods,2606,4,none,1,4,28,rent,self,1,Y
354,415,none,delayed,none,2,9,school,1244,4,none,10+,4,41,rent,unskill,1,Y
355,437,high,delayed,some,1,30,busin,1908,4,none,10+,4,66,owned,self,1,N
356,426,some,paid,some,1,24,auto,12579,4,none,10+,2,44,free,self,1,N
357,379,some,paid,medium,4,12,goods,951,4,none,1,4,27,rent,skilled,1,N
358,309,debt,paid,some,1,18,goods,3114,1,none,1,4,26,rent,skilled,1,N
359,503,none,paid,some,1,6,goods,2108,2,none,7,2,29,rent,skilled,1,Y
360,506,some,delayed,some,1,11,goods,4771,2,none,7,4,51,owned,skilled,1,Y
361,501,some,delayed,high,2,27,goods,2520,4,none,4,2,23,owned,unskill,1,N
362,250,debt,paid,some,2,48,goods,6999,1,guarant,7,1,34,owned,skilled,1,N
363,41,some,paid,medium,1,18,busin,2622,4,none,4,4,34,owned,skilled,1,Y
364,406,debt,paid,some,1,36,auto,1842,4,none,1,4,34,owned,skilled,1,N
365,136,some,delayed,some,1,24,goods,6403,1,none,1,2,33,owned,skilled,1,Y
366,437,high,delayed,some,1,30,busin,1908,4,none,10+,4,66,owned,self,1,N
367,487,none,paid,some,3,18,goods,3422,4,none,10+,4,47,owned,skilled,2,Y
368,179,some,paid,some,1,9,auto,276,4,none,4,4,22,rent,unskill,1,Y
369,175,some,paid,some,2,15,repairs,1308,4,none,10+,4,38,owned,unskill,1,Y
370,392,none,delayed,some,2,15,goods,1471,4,none,4,4,35,free,skilled,1,Y
371,31,none,delayed,some,1,12,auto,1503,4,none,4,4,41,rent,skilled,1,Y
372,452,none,delayed,v.high,1,24,auto,1940,4,none,10+,4,60,owned,skilled,1,Y
373,318,none,paid,some,1,36,school,1819,4,none,4,4,37,free,skilled,1,N
374,155,none,delayed,some,1,30,goods,5954,3,co-app,7,2,38,owned,skilled,1,Y
375,72,debt,paid,none,1,24,auto,1371,4,none,4,4,25,rent,skilled,1,N
376,272,debt,paid,some,1,6,school,448,4,none,1,4,23,owned,skilled,1,N
377,10,debt,paid,some,1,24,auto,2924,3,guarant,4,4,63,owned,skilled,2,Y
378,236,debt,delayed,some,2,60,busin,6836,3,none,10+,4,63,owned,skilled,1,N
379,197,some,paid,none,1,30,goods,2991,2,none,10+,4,25,owned,skilled,1,Y
380,430,none,paid,some,1,18,goods,433,3,co-app,0,4,22,rent,skilled,1,N
381,296,debt,paid,some,1,48,school,7476,4,none,7,1,50,free,self,1,Y
382,373,some,paid,v.high,1,12,auto,1318,4,none,10+,4,54,owned,skilled,1,Y
383,263,none,paid,high,1,15,goods,1213,4,none,10+,3,47,owned,skilled,1,Y
384,179,some,paid,some,1,9,auto,276,4,none,4,4,22,rent,unskill,1,Y
385,50,some,paid,some,1,12,goods,625,4,guarant,1,1,26,owned,unskill,1,Y
386,83,debt,paid,some,1,24,goods,1546,4,guarant,7,4,24,rent,unskill,1,N
387,208,debt,paid,some,1,12,goods,1498,4,none,4,1,23,owned,skilled,1,Y
388,229,none,paid,some,1,24,auto,1393,2,guarant,4,2,31,owned,skilled,1,Y
389,249,debt,delayed,some,2,24,auto,2957,4,none,10+,4,63,owned,skilled,1,Y
390,5,none,paid,none,1,30,goods,1867,4,none,10+,4,58,owned,skilled,1,Y
391,144,some,paid,some,1,24,goods,2039,1,none,1,1,22,owned,skilled,1,N
392,307,none,delayed,some,3,24,goods,5103,3,none,1,3,47,free,skilled,1,Y
393,171,none,paid,medium,2,24,goods,3621,2,none,10+,4,31,owned,skilled,1,N
394,387,none,delayed,some,1,12,auto,926,1,none,0,2,38,owned,none,1,Y
395,274,debt,paid,v.high,1,18,goods,2659,4,none,4,2,28,owned,skilled,1,Y
396,316,high,delayed,none,2,15,goods,1271,3,none,4,4,39,free,skilled,1,N
397,19,debt,paid,some,1,15,auto,2511,1,none,0,4,23,rent,skilled,1,Y
398,450,debt,delayed,some,2,36,goods,5371,3,guarant,4,2,28,owned,skilled,1,Y
399,12,debt,paid,some,1,18,goods,2389,4,none,1,1,27,owned,skilled,1,Y
400,225,some,delayed,some,1,48,goods,5096,2,none,4,3,30,owned,self,1,N
401,194,none,paid,high,1,15,auto,5324,1,none,10+,4,35,free,skilled,1,Y
402,98,debt,paid,medium,1,24,auto,2325,2,none,7,3,32,owned,skilled,1,Y
403,8,none,delayed,medium,2,24,goods,4151,2,none,4,3,35,owned,skilled,1,Y
404,370,some,paid,some,1,18,goods,866,4,guarant,4,2,25,owned,unskill,1,Y
405,294,none,delayed,some,2,12,busin,1412,4,guarant,4,2,29,owned,self,1,Y
406,25,none,delayed,some,2,60,goods,15653,2,none,7,4,21,owned,skilled,1,Y
407,282,some,paid,medium,1,48,auto,6560,3,none,7,2,24,owned,skilled,1,N
408,470,debt,paid,some,1,27,goods,3416,3,none,4,2,27,owned,self,1,Y
409,296,debt,paid,some,1,48,school,7476,4,none,7,1,50,free,self,1,Y
410,436,debt,delayed,none,2,39,goods,14179,4,none,7,4,30,owned,self,1,Y
411,322,none,delayed,v.high,2,27,goods,4526,4,none,1,2,32,owned,unskill,2,Y
412,445,some,paid,some,1,9,goods,1206,4,none,10+,4,25,owned,skilled,1,Y
413,346,some,delayed,some,1,24,goods,4736,2,none,1,4,25,owned,unskill,1,N
414,440,some,delayed,medium,1,24,auto,3878,4,none,1,2,37,owned,skilled,1,Y
415,234,debt,paid,some,1,30,auto,3857,4,none,4,4,40,owned,self,1,Y
416,489,debt,paid,some,1,12,goods,701,4,none,4,2,40,owned,unskill,1,Y
417,88,none,paid,none,1,30,auto,4811,2,none,7,4,24,rent,unskill,1,Y
418,261,debt,paid,some,3,48,auto,10297,4,none,7,4,39,free,skilled,2,N
419,391,debt,paid,medium,1,12,goods,727,4,none,1,3,33,owned,unskill,1,N
420,190,debt,paid,some,1,12,auto,1372,2,none,7,3,36,owned,skilled,1,N
421,186,some,delayed,v.high,2,21,goods,2745,3,none,7,2,32,owned,skilled,1,Y
422,320,some,paid,some,1,27,busin,3915,4,none,4,2,36,owned,skilled,2,N
423,308,debt,paid,some,1,12,goods,1858,4,none,1,1,22,rent,skilled,1,Y
424,290,debt,paid,some,1,24,goods,6872,2,none,1,1,55,owned,skilled,1,N
425,505,some,paid,some,2,9,school,1199,4,none,7,4,67,owned,self,1,Y
426,46,some,delayed,some,2,30,auto,4249,4,none,0,2,28,owned,self,1,N
427,511,some,delayed,some,2,12,auto,3124,1,none,1,3,49,owned,unskill,2,Y
428,237,debt,delayed,some,2,9,goods,1138,4,none,4,4,25,owned,unskill,1,Y
429,228,some,paid,some,1,8,goods,1414,4,guarant,4,2,33,owned,skilled,1,Y
430,58,none,delayed,none,2,24,busin,2978,4,none,4,4,32,owned,skilled,2,Y
431,136,some,delayed,some,1,24,goods,6403,1,none,1,2,33,owned,skilled,1,Y
432,387,none,delayed,some,1,12,auto,926,1,none,0,2,38,owned,none,1,Y
433,417,none,paid,some,2,12,auto,1101,3,none,4,2,27,owned,skilled,1,Y
434,331,some,delayed,some,1,30,goods,8386,2,none,7,2,49,owned,skilled,1,N
435,4,none,delayed,some,2,36,auto,6614,4,none,10+,4,34,owned,self,1,Y
436,145,some,paid,v.high,2,48,goods,10961,1,co-app,7,2,27,owned,skilled,1,N
437,329,some,delayed,medium,1,39,school,11760,2,none,7,3,32,rent,skilled,1,Y
438,512,none,delayed,some,2,6,goods,1382,1,none,4,1,28,owned,skilled,1,Y
439,213,none,delayed,v.high,2,18,goods,1582,4,none,10+,4,46,owned,skilled,1,Y
440,283,none,paid,some,1,12,goods,763,4,none,4,1,26,owned,skilled,1,Y
441,385,none,delayed,v.high,2,18,goods,1149,4,none,4,3,46,owned,skilled,1,Y
442,32,none,delayed,none,2,6,goods,1221,1,none,4,2,27,owned,skilled,1,Y
443,333,debt,delayed,v.high,2,24,goods,1231,4,none,10+,4,57,rent,self,1,Y
444,238,debt,delayed,some,2,36,auto,9629,4,none,7,4,24,owned,skilled,1,N
445,497,debt,delayed,some,2,36,school,8065,3,none,4,2,25,owned,self,1,N
446,28,debt,paid,medium,1,12,goods,674,4,none,7,1,20,owned,skilled,1,N
447,123,none,paid,high,1,10,auto,1597,3,none,4,2,40,rent,unskill,2,Y
448,497,debt,delayed,some,2,36,school,8065,3,none,4,2,25,owned,self,1,N
449,38,some,paid,v.high,1,18,busin,1941,4,none,4,2,35,owned,unskill,1,Y
450,142,some,paid,high,1,9,goods,790,4,none,4,3,66,owned,unskill,1,Y
451,355,some,paid,some,1,6,goods,1068,4,none,10+,4,28,owned,skilled,2,Y
452,309,debt,paid,some,1,18,goods,3114,1,none,1,4,26,rent,skilled,1,N
453,184,debt,delayed,none,2,18,school,8471,1,none,4,2,23,rent,skilled,1,Y
454,4,none,delayed,some,2,36,auto,6614,4,none,10+,4,34,owned,self,1,Y
455,130,none,delayed,high,1,21,busin,2580,4,none,1,2,41,owned,unskill,2,N
456,476,none,delayed,high,2,42,goods,4042,4,none,4,4,36,owned,skilled,1,Y
457,471,high,paid,some,1,18,goods,3049,1,none,1,1,45,owned,unskill,1,Y
458,280,none,paid,medium,1,24,goods,1311,4,none,7,3,26,owned,skilled,1,Y
459,321,none,paid,none,1,6,auto,783,1,guarant,4,2,26,owned,unskill,2,Y
460,3,none,paid,high,1,6,goods,2978,1,none,4,2,32,owned,skilled,1,Y
461,404,debt,delayed,some,2,24,auto,4870,3,none,4,4,53,free,skilled,2,N
462,274,debt,paid,v.high,1,18,goods,2659,4,none,4,2,28,owned,skilled,1,Y
463,9,none,delayed,none,2,48,busin,7629,4,none,10+,2,46,owned,self,2,Y
464,436,debt,delayed,none,2,39,goods,14179,4,none,7,4,30,owned,self,1,Y
465,315,none,paid,high,1,36,auto,909,4,none,10+,4,36,owned,skilled,1,Y
466,398,some,paid,medium,1,9,auto,1437,2,none,7,3,29,owned,skilled,1,N
467,370,some,paid,some,1,18,goods,866,4,guarant,4,2,25,owned,unskill,1,Y
468,416,none,paid,none,1,12,goods,2279,4,none,4,4,37,free,skilled,1,Y
469,283,none,paid,some,1,12,goods,763,4,none,4,1,26,owned,skilled,1,Y
470,135,debt,delayed,some,4,12,goods,385,4,none,7,3,58,owned,unskill,1,Y
471,489,debt,paid,some,1,12,goods,701,4,none,4,2,40,owned,unskill,1,Y
472,123,none,paid,high,1,10,auto,1597,3,none,4,2,40,rent,unskill,2,Y
473,149,some,delayed,none,2,20,auto,7057,3,none,7,4,36,rent,self,2,Y
474,310,debt,paid,some,1,18,auto,1216,4,none,1,3,23,rent,skilled,1,N
475,502,some,paid,some,1,60,auto,14027,4,none,7,2,27,owned,self,1,N
476,245,some,delayed,medium,2,30,goods,1919,4,none,1,3,30,owned,self,1,N
477,9,none,delayed,none,2,48,busin,7629,4,none,10+,2,46,owned,self,2,Y
478,490,debt,delayed,some,2,36,goods,2348,3,none,4,2,46,owned,skilled,1,Y
479,266,none,paid,some,1,24,goods,1413,4,none,4,2,28,owned,skilled,1,Y
480,485,none,paid,v.high,1,21,busin,1572,4,none,10+,4,36,owned,unskill,1,Y
481,23,high,delayed,some,1,42,auto,4796,4,none,10+,4,56,free,skilled,1,Y
482,383,none,paid,some,1,12,busin,1076,2,none,4,2,26,owned,skilled,1,Y
483,427,some,delayed,none,1,24,goods,2333,4,none,1,2,29,owned,unskill,1,Y
484,400,none,paid,some,1,18,goods,4594,3,none,1,2,32,owned,skilled,1,Y
485,266,none,paid,some,1,24,goods,1413,4,none,4,2,28,owned,skilled,1,Y
486,48,debt,paid,some,1,24,goods,3552,3,none,7,4,27,owned,skilled,1,N
487,354,debt,paid,some,1,12,auto,2579,4,none,1,1,33,owned,unskill,2,N
488,379,some,paid,medium,4,12,goods,951,4,none,1,4,27,rent,skilled,1,N
489,201,debt,delayed,some,2,24,auto,6615,2,none,0,4,75,free,self,1,Y
490,129,some,paid,some,1,9,goods,918,4,none,4,1,30,owned,skilled,1,N
491,215,some,paid,none,1,12,auto,2028,4,none,4,2,30,owned,skilled,1,Y
492,28,debt,paid,medium,1,12,goods,674,4,none,7,1,20,owned,skilled,1,N
493,489,debt,paid,some,1,12,goods,701,4,none,4,2,40,owned,unskill,1,Y
494,160,some,delayed,some,2,24,busin,1935,4,none,10+,4,31,owned,skilled,1,N
495,222,debt,paid,some,2,27,busin,5293,2,none,0,4,50,owned,skilled,1,N
496,413,none,delayed,some,1,12,goods,618,4,none,10+,4,56,owned,skilled,1,Y
497,327,some,paid,some,2,26,auto,7966,2,none,1,3,30,owned,skilled,1,Y
498,300,high,paid,medium,1,24,goods,1377,4,none,10+,2,47,free,skilled,1,Y
499,9,none,delayed,none,2,48,busin,7629,4,none,10+,2,46,owned,self,2,Y
500,143,debt,paid,some,1,24,auto,2910,2,none,7,1,34,free,self,1,Y
501,241,some,delayed,some,2,36,busin,4455,2,none,4,2,30,owned,self,1,N
502,58,none,delayed,none,2,24,busin,2978,4,none,4,4,32,owned,skilled,2,Y
503,110,some,paid,some,1,6,goods,484,3,guarant,7,3,28,owned,unskill,1,Y
504,494,debt,paid,some,1,12,goods,708,2,guarant,4,3,38,owned,unskill,2,Y
505,317,none,paid,none,1,21,auto,2476,4,none,10+,4,46,owned,self,1,Y
506,124,some,delayed,medium,1,48,other,7582,2,none,0,4,31,free,self,1,Y
507,2,debt,delayed,some,2,20,goods,4272,1,none,10+,4,24,owned,skilled,1,Y
508,442,debt,paid,medium,1,6,auto,1203,3,none,10+,2,43,owned,skilled,1,Y
509,27,none,delayed,none,1,7,goods,846,3,none,10+,4,36,free,skilled,1,Y
510,202,none,delayed,some,2,11,auto,7228,1,none,4,4,39,owned,unskill,1,Y
511,376,some,paid,some,1,9,goods,959,1,none,4,2,29,owned,skilled,1,N
512,304,high,paid,some,1,12,goods,1881,2,none,4,2,44,rent,unskill,1,Y
513,292,high,paid,some,1,15,goods,2327,2,none,1,3,25,owned,unskill,1,N
514,176,some,paid,v.high,1,6,school,433,4,none,1,2,24,rent,skilled,2,N
515,92,debt,paid,medium,1,24,goods,2359,1,none,0,1,33,owned,skilled,1,N
516,90,debt,paid,some,1,48,busin,7685,2,guarant,7,4,37,rent,skilled,1,N
517,440,some,delayed,medium,1,24,auto,3878,4,none,1,2,37,owned,skilled,1,Y
518,223,debt,paid,some,1,48,busin,4308,3,none,1,4,24,rent,skilled,1,N
519,203,some,delayed,some,1,36,auto,7432,2,none,4,2,54,rent,skilled,1,Y
520,481,some,paid,some,1,8,goods,760,4,guarant,7,2,44,owned,unskill,1,Y
521,211,none,delayed,some,2,36,busin,9572,1,none,1,1,28,owned,skilled,1,N
522,483,debt,paid,some,1,36,goods,2712,2,none,10+,2,41,owned,skilled,2,N
523,245,some,delayed,medium,2,30,goods,1919,4,none,1,3,30,owned,self,1,N
524,438,some,paid,some,1,54,busin,15945,3,none,1,4,58,rent,skilled,1,N
525,254,some,delayed,some,2,45,goods,4746,4,none,1,2,25,owned,unskill,1,N
526,491,none,paid,medium,2,36,busin,5742,2,none,7,2,31,owned,skilled,1,Y
527,268,high,paid,medium,1,21,auto,2923,1,none,4,1,28,owned,self,1,Y
528,277,none,paid,high,1,10,school,727,4,none,10+,4,46,free,skilled,1,Y
529,152,high,delayed,medium,2,6,auto,1323,2,none,10+,4,28,owned,skilled,2,Y
530,452,none,delayed,v.high,1,24,auto,1940,4,none,10+,4,60,owned,skilled,1,Y
531,113,none,paid,high,1,9,auto,2507,2,none,10+,4,51,free,unskill,1,Y
532,503,none,paid,some,1,6,goods,2108,2,none,7,2,29,rent,skilled,1,Y
533,216,debt,paid,some,1,18,goods,3509,4,guarant,7,1,25,owned,skilled,1,Y
534,314,high,delayed,none,2,10,goods,1347,4,none,7,2,27,owned,skilled,1,Y
535,24,none,paid,medium,1,9,goods,2753,3,co-app,10+,4,35,owned,skilled,1,Y
536,175,some,paid,some,2,15,repairs,1308,4,none,10+,4,38,owned,unskill,1,Y
537,385,none,delayed,v.high,2,18,goods,1149,4,none,4,3,46,owned,skilled,1,Y
538,160,some,delayed,some,2,24,busin,1935,4,none,10+,4,31,owned,skilled,1,N
539,281,debt,paid,some,2,12,repairs,1108,4,none,7,3,28,owned,skilled,1,N
540,508,some,delayed,some,2,30,auto,5234,4,none,0,2,28,owned,self,1,N
541,161,debt,delayed,some,1,24,goods,1024,4,none,1,4,48,owned,skilled,1,N
542,504,some,paid,some,1,36,goods,3804,4,none,4,1,42,owned,skilled,1,N
543,235,some,delayed,some,1,36,goods,2337,4,none,10+,4,36,owned,skilled,1,Y
544,104,none,delayed,medium,2,6,goods,1237,1,none,4,1,27,owned,skilled,1,Y
545,297,debt,delayed,some,2,6,auto,609,4,none,7,3,37,owned,skilled,1,Y
546,348,debt,delayed,some,2,12,auto,2122,3,none,4,2,39,rent,unskill,2,Y
547,250,debt,paid,some,2,48,goods,6999,1,guarant,7,1,34,owned,skilled,1,N
548,281,debt,paid,some,2,12,repairs,1108,4,none,7,3,28,owned,skilled,1,N
549,264,none,paid,none,1,10,auto,2901,1,none,1,4,31,rent,skilled,1,Y
550,488,debt,paid,none,1,24,auto,1285,4,none,7,4,32,rent,skilled,1,N
551,200,none,paid,none,1,10,school,894,4,none,7,3,40,owned,skilled,1,Y
552,496,none,delayed,medium,3,11,goods,1154,4,none,0,4,57,owned,unskill,1,Y
553,505,some,paid,some,2,9,school,1199,4,none,7,4,67,owned,self,1,Y
554,65,debt,paid,some,1,12,goods,1107,2,none,4,2,20,rent,self,2,Y
555,283,none,paid,some,1,12,goods,763,4,none,4,1,26,owned,skilled,1,Y
556,303,none,paid,high,1,24,goods,1376,4,none,7,1,28,owned,skilled,1,Y
557,340,some,paid,medium,1,36,goods,9034,4,co-app,1,1,29,rent,self,1,N
558,179,some,paid,some,1,9,auto,276,4,none,4,4,22,rent,unskill,1,Y
559,220,none,delayed,some,2,18,auto,1530,3,none,4,2,32,owned,skilled,1,N
560,132,some,paid,some,1,9,goods,1670,4,none,1,2,22,owned,skilled,1,N
561,172,debt,paid,v.high,2,30,goods,3622,4,none,10+,4,57,rent,skilled,1,Y
562,203,some,delayed,some,1,36,auto,7432,2,none,4,2,54,rent,skilled,1,Y
563,504,some,paid,some,1,36,goods,3804,4,none,4,1,42,owned,skilled,1,N
564,359,none,delayed,some,2,15,auto,3594,1,none,1,2,46,owned,unskill,1,Y
565,435,debt,delayed,some,2,15,goods,1433,4,none,4,3,25,rent,skilled,1,Y
566,399,none,delayed,none,2,30,goods,3077,3,none,10+,2,40,owned,skilled,2,Y
567,136,some,delayed,some,1,24,goods,6403,1,none,1,2,33,owned,skilled,1,Y
568,196,some,paid,some,1,36,goods,4795,4,none,1,1,30,owned,self,1,Y
569,498,none,paid,some,1,24,busin,1258,4,none,7,1,25,owned,skilled,1,Y
570,31,none,delayed,some,1,12,auto,1503,4,none,4,4,41,rent,skilled,1,Y
571,151,debt,delayed,some,2,8,auto,3398,1,none,7,4,39,owned,unskill,1,Y
572,362,debt,paid,some,1,14,auto,8978,1,none,10+,4,45,owned,self,1,N
573,219,none,paid,none,1,15,goods,1979,4,none,10+,2,35,owned,skilled,1,Y
574,396,some,paid,some,1,9,busin,1391,2,none,4,1,27,owned,skilled,1,Y
575,416,none,paid,none,1,12,goods,2279,4,none,4,4,37,free,skilled,1,Y
576,298,some,paid,high,1,12,goods,1158,3,none,4,1,26,owned,skilled,1,Y
577,209,some,paid,some,1,12,school,1410,2,none,4,2,31,owned,unskill,1,Y
578,408,some,paid,some,1,9,goods,458,4,none,4,3,24,owned,skilled,1,Y
579,71,debt,delayed,some,2,12,auto,2171,4,none,4,4,38,owned,unskill,1,Y
580,313,some,paid,medium,2,24,auto,3512,2,none,7,3,38,owned,skilled,1,Y
581,453,none,paid,none,2,24,goods,5943,1,none,1,1,44,owned,skilled,1,N
582,321,none,paid,none,1,6,auto,783,1,guarant,4,2,26,owned,unskill,2,Y
583,269,none,paid,some,1,24,auto,7393,1,none,4,4,43,owned,unskill,2,Y
584,501,some,delayed,high,2,27,goods,2520,4,none,4,2,23,owned,unskill,1,N
585,240,some,paid,some,1,48,goods,9960,1,none,1,2,26,owned,skilled,1,N
586,432,none,paid,some,1,6,goods,1595,3,none,7,2,51,owned,skilled,2,Y
587,347,some,delayed,none,1,60,goods,7418,1,none,4,1,27,owned,unskill,1,Y
588,378,none,paid,none,1,15,auto,3556,3,none,4,2,29,owned,skilled,1,Y
589,120,none,paid,none,1,48,goods,10222,4,none,7,3,37,owned,skilled,1,Y
590,145,some,paid,v.high,2,48,goods,10961,1,co-app,7,2,27,owned,skilled,1,N
591,374,some,delayed,medium,1,12,auto,1995,4,none,1,1,27,owned,skilled,1,Y
592,432,none,paid,some,1,6,goods,1595,3,none,7,2,51,owned,skilled,2,Y
593,29,none,paid,some,1,18,goods,2515,3,none,4,4,43,owned,skilled,1,Y
594,423,debt,delayed,some,3,18,auto,3966,1,none,10+,4,33,rent,skilled,1,N
595,148,none,paid,medium,1,15,auto,3812,1,none,1,4,23,owned,skilled,1,Y
596,427,some,delayed,none,1,24,goods,2333,4,none,1,2,29,owned,unskill,1,Y
597,501,some,delayed,high,2,27,goods,2520,4,none,4,2,23,owned,unskill,1,N
598,317,none,paid,none,1,21,auto,2476,4,none,10+,4,46,owned,self,1,Y
599,336,none,paid,some,2,36,goods,10974,4,none,0,2,26,owned,self,1,N
600,300,high,paid,medium,1,24,goods,1377,4,none,10+,2,47,free,skilled,1,Y
601,240,some,paid,some,1,48,goods,9960,1,none,1,2,26,owned,skilled,1,N
602,93,debt,paid,v.high,1,21,goods,3357,4,none,1,2,29,owned,skilled,1,Y
603,279,debt,delayed,some,3,18,auto,5302,2,none,10+,4,36,free,self,1,Y
604,259,some,paid,none,1,24,goods,4351,1,none,4,4,48,owned,unskill,1,Y
605,174,none,delayed,some,2,18,goods,2238,2,none,4,1,25,owned,skilled,1,Y
606,255,debt,paid,some,1,12,auto,1893,4,guarant,4,4,29,owned,skilled,1,Y
607,80,none,delayed,none,2,18,goods,1169,4,none,4,3,29,owned,skilled,1,Y
608,101,high,paid,some,1,12,busin,609,4,none,1,1,26,owned,none,1,N
609,176,some,paid,v.high,1,6,school,433,4,none,1,2,24,rent,skilled,2,N
610,259,some,paid,none,1,24,goods,4351,1,none,4,4,48,owned,unskill,1,Y
611,70,none,paid,some,2,9,goods,1980,2,co-app,1,2,19,rent,skilled,1,N
612,62,debt,delayed,some,2,10,auto,1038,4,co-app,7,3,49,owned,skilled,1,Y
613,312,some,paid,none,1,12,goods,1484,2,none,4,1,25,owned,skilled,1,N
614,436,debt,delayed,none,2,39,goods,14179,4,none,7,4,30,owned,self,1,Y
615,234,debt,paid,some,1,30,auto,3857,4,none,4,4,40,owned,self,1,Y
616,372,some,paid,some,1,9,auto,5129,2,none,10+,4,74,free,self,2,N
617,266,none,paid,some,1,24,goods,1413,4,none,4,2,28,owned,skilled,1,Y
618,432,none,paid,some,1,6,goods,1595,3,none,7,2,51,owned,skilled,2,Y
619,73,some,paid,medium,1,15,repairs,2631,3,none,4,2,25,owned,unskill,1,Y
620,106,some,paid,none,1,6,goods,368,4,none,10+,4,38,owned,skilled,1,Y
621,181,none,delayed,some,1,18,busin,2169,4,none,4,2,28,owned,skilled,1,N
622,326,debt,paid,some,1,12,goods,1289,4,guarant,4,1,21,owned,unskill,1,Y
623,421,none,delayed,some,2,14,auto,802,4,none,4,2,27,owned,unskill,1,Y
624,231,debt,paid,some,2,12,goods,6199,4,none,4,2,28,rent,skilled,1,N
625,325,debt,paid,high,1,6,auto,1352,1,none,0,2,23,rent,none,1,Y
626,463,none,paid,medium,1,6,auto,1204,4,none,4,1,35,rent,skilled,1,Y
627,381,none,delayed,medium,2,6,auto,362,4,none,4,4,52,owned,unskill,1,Y
628,318,none,paid,some,1,36,school,1819,4,none,4,4,37,free,skilled,1,N
629,52,debt,delayed,some,1,12,auto,1409,4,none,10+,3,54,owned,skilled,1,Y
630,271,some,delayed,some,1,18,goods,4297,4,none,10+,3,40,owned,self,1,N
631,180,none,paid,none,2,24,goods,3105,4,none,1,2,25,owned,skilled,1,Y
